"INITCAP(REGEXP_REPLACE(GRAPH, '_', ' '))",NODE_DISTANCE,"INITCAP(REGEXP_REPLACE(STARTING_NODE, '_', ' '))","INITCAP(REGEXP_REPLACE(ENDING_NODE, '_', ' '))",ARRAY_AGG(INITCAP(IEVENT)),ROUND(AVG(INTENSITY))
Alphabet Inc,3,58com Inc,Bitauto Holdings Ltd,"[
  ""Breach""
]",16965
Alphabet Inc,3,Biogen Inc,Glenmark Pharmaceuticals Limited,"[
  ""Litigation""
]",2499
Jp Morgan Chase And Co,3,Enbridge Inc,Bandwidth Inc,"[
  ""Removal""
]",464
Microsoft Corp,3,Ngl Energy Partners Lp,Brixmor Property Group Inc,"[
  ""Removal""
]",536940
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Tata Motors Ltd,"[
  ""Disruption""
]",1
Goldman Sachs Group Inc,3,Wec Energy Group Inc,Pdl Biopharma Inc,"[
  ""Removal""
]",6495
Goldman Sachs Group Inc,3,Apellis Pharmaceuticals Inc,Akari Therapeutics Plc,"[
  ""Clinical Trial""
]",261
Goldman Sachs Group Inc,2,Reata Pharmaceuticals Inc,Vertex Pharmaceuticals Inc / Ma,"[
  ""Clinical Trial""
]",48
Jp Morgan Chase And Co,3,Resolute Forest Products Inc,Commercehub Inc,"[
  ""Investigation""
]",250
Goldman Sachs Group Inc,3,Booking Holdings Inc,Gds Holdings Ltd,"[
  ""Sanctions""
]",11328
Morgan Stanley International Holdings Inc,3,New Residential Investment Corp,Onemain Holdings Inc,"[
  ""Bankruptcy""
]",6910
Goldman Sachs Group Inc,3,Molecular Templates Inc,Bayer Ag Ord,"[
  ""Investigation""
]",14716
Jp Morgan Chase And Co,3,Nasdaq Inc,Mannatech Inc,"[
  ""Litigation""
]",660
Goldman Sachs Group Inc,3,Verizon Communications Inc,America Movil Sab De Cv,"[
  ""Investigation""
]",3072
Morgan Stanley International Holdings Inc,3,Apple Inc,Centerstate Bank Corp,"[
  ""Investigation""
]",480
Goldman Sachs Group Inc,3,Hanesbrands Inc,Levi Strauss And Co,"[
  ""Litigation""
]",426
Jp Morgan Chase And Co,3,Noble Energy Inc,Otelco Inc,"[
  ""Breach""
]",4973
Alphabet Inc,3,Aquinox Pharmaceuticals Inc,Flagship Global Corp,"[
  ""Clinical Trial""
]",15
Microsoft Corp,3,V F Corp,J Jill Inc,"[
  ""Store Closure""
]",528
Goldman Sachs Group Inc,3,Corcept Therapeutics Inc,Strongbridge Biopharma Plc,"[
  ""Clinical Trial""
]",1980
Coca-Cola Company,3,Alnylam Pharmaceuticals Inc,Arbutus Biopharma Cp,"[
  ""Litigation""
]",1050
Coca-Cola Company,2,Bank Of America Corp,Cymabay Therapeutics,"[
  ""Clinical Trial""
]",1
Coca-Cola Company,3,Principal Financial Group Inc,Zumiez Inc,"[
  ""Store Closure""
]",508
Coca-Cola Company,3,Thomson Reuters Corp,Partnerre Ltd,"[
  ""Setback""
]",40208
Coca-Cola Company,3,Hrg Group Inc,Assa Abloy Ab,"[
  ""Breach""
]",4320
Coca-Cola Company,3,Ocwen Financial Corp,Phh Corp,"[
  ""Litigation"",
  ""Investigation""
]",20744
Coca-Cola Company,3,Veeva Systems Inc,Medidata Solutions Gmbh,"[
  ""Litigation"",
  ""Litigation""
]",302
Coca-Cola Company,3,Molecular Templates Inc,Bayer Ag Ord,"[
  ""Investigation""
]",6760
Coca-Cola Company,3,Thomson Reuters Corp,Zalando Se,"[
  ""Investigation""
]",1216
Coca-Cola Company,3,News Corp,Smithfield Foods Inc,"[
  ""Litigation""
]",284
Pepsico Inc,3,Credit Suisse Ag,Vtb Bank,"[
  ""Fraud""
]",2004
Pepsico Inc,2,Ubs Group Ag,Galectin Therapeutics Inc,"[
  ""Research""
]",1
Pepsico Inc,3,Ltc Properties Inc,Cohen And Steers Ltd Duration Prfd Income Fund,"[
  ""Bankruptcy""
]",1031
Microsoft Corp,3,Jp Morgan Chase And Co,Ubs Group Ag,"[
  ""Breach""
]",948672
Microsoft Corp,3,Charter Communications Inc,America Movil Sab De Cv,"[
  ""Investigation""
]",3552
Alphabet Inc,3,Celsion Corp,Smartheat Inc,"[
  ""Clinical Trial""
]",170
Pepsico Inc,3,Apple Inc,Gt Advanced Technologies Inc,"[
  ""Bankruptcy""
]",448
Microsoft Corp,3,Pfenex Inc,European Equity Fund,"[
  ""Fraud""
]",7292
Alphabet Inc,3,Intuitive Surgical Inc,Vinci Sa,"[
  ""Disruption""
]",9912
Alphabet Inc,2,Nasdaq Inc,Cymabay Therapeutics,"[
  ""Investigation""
]",1
Alphabet Inc,2,Nasdaq Inc,Cytosorbents Corp,"[
  ""Removal""
]",1
Microsoft Corp,3,Ppl Corp,Talen Energy Corp,"[
  ""Litigation""
]",134
Pepsico Inc,3,Blueprint Medicines Corp,Warrior Met Coal Inc,"[
  ""Clinical Trial""
]",3522
Microsoft Corp,3,Lockheed Martin Corp,Manulife Financial Corp,"[
  ""Reorganization""
]",9100
Alphabet Inc,2,Nasdaq Inc,Yintech Investment Holdings Ltd,"[
  ""Breach""
]",1
Pepsico Inc,2,Intercontinental Exchange,Seadrill Ltd,"[
  ""Bankruptcy""
]",1
Alphabet Inc,2,Google,Apple Inc,"[
  ""Litigation""
]",2341
Pepsico Inc,3,Canadian Pacific Railway Ltd/Cn,Just Energy Group Inc,"[
  ""Bankruptcy""
]",616
Coca-Cola Company,2,Intercontinental Exchange,Dxc Technology Company,"[
  ""Ransomware Attack""
]",1
Alphabet Inc,3,Acer Therapeutics Inc,Piper Jaffray Companies,"[
  ""Litigation""
]",6888
Coca-Cola Company,3,Thomson Reuters Corp,Steinhoff International Holdings Nv,"[
  ""Accounting Fraud""
]",1596
Pepsico Inc,3,Fox Corporation,Allianzgi International And Premium Strategy Fund,"[
  ""Breach""
]",19864
Pepsico Inc,3,Energy Fuels Inc,Hallador Energy Co,"[
  ""Removal""
]",411
Microsoft Corp,3,Kroger Company,Bmc Software Inc,"[
  ""Breach""
]",427
Microsoft Corp,2,Intercontinental Exchange,Washington Prime Group Inc,"[
  ""Store Closure""
]",1
Microsoft Corp,3,Noble Energy Inc,On Deck Capital Inc,"[
  ""Breach""
]",65892
Pepsico Inc,3,Seadrill Ltd,Noble Corp Plc,"[
  ""Bankruptcy""
]",5728
Pepsico Inc,3,Abbvie Inc,Teva Pharmaceutical Industries Ltd,"[
  ""Litigation""
]",234000
Microsoft Corp,2,Bank Of America Corp,Ubs Group Ag,"[
  ""Breach""
]",2305
Microsoft Corp,2,Linkedin Corp,Chesapeake Energy Corp,"[
  ""Bankruptcy""
]",1
Microsoft Corp,3,Public Service Enterprise Group Inc,Darwin Professional Underwriters Inc,"[
  ""Litigation""
]",1100
Microsoft Corp,3,Lloyds Banking Group Plc,Easyjet Plc,"[
  ""Disruption""
]",4512
Microsoft Corp,3,Mueller Industries Inc,Haynes International Inc,"[
  ""Dispute""
]",608
Alphabet Inc,3,Kalvista Pharmaceuticals Inc,Ohr Pharmaceutical Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",20
Alphabet Inc,3,Gnc Holdings Inc,Great Northern Iron Ore Properties,"[
  ""Investigation""
]",46
Jp Morgan Chase And Co,3,Novavax Inc,Orbital Atk Inc,"[
  ""Clinical Trial""
]",70
Microsoft Corp,3,Cronos Group Inc,Ginkgo Bioworks Inc,"[
  ""Litigation""
]",684
Alphabet Inc,3,Mcewen Mining Inc,Antofagasta Plc Ord,"[
  ""Litigation""
]",126
Alphabet Inc,3,Nasdaq Inc,Atossa Therapeutics Inc,"[
  ""Clinical Trial""
]",600
Jp Morgan Chase And Co,3,Bmw Ag St,Swiss Reinsurance Co Ltd,"[
  ""Research""
]",17624
Goldman Sachs Group Inc,3,Geron Co Ltd,Keros Therapeutics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",143
Goldman Sachs Group Inc,3,Mcdermott Inc,Brookfield Dtla Fund Office Trust Investor Inc,"[
  ""Bankruptcy""
]",40
Goldman Sachs Group Inc,2,Jp Morgan Chase And Co,Home Depot Inc,"[
  ""Data Breach""
]",1
Alphabet Inc,3,Tandem Diabetes Care Inc,Kilroy Realty Corp,"[
  ""Research""
]",96
Microsoft Corp,3,Tesla Inc,Solarcity Corp,"[
  ""Fraud""
]",1944
Pepsico Inc,3,Apple Inc,Centerstate Bank Corp,"[
  ""Investigation""
]",256
Microsoft Corp,3,Nasdaq Inc,Longfin Corp,"[
  ""Accounting Fraud""
]",546
Microsoft Corp,2,Nasdaq Inc,Biocon Limited,"[
  ""Clinical Trial""
]",1
Alphabet Inc,3,Ally Financial,Armstrong Flooring Inc,"[
  ""Litigation""
]",4125
Jp Morgan Chase And Co,3,Altimmune Inc,Siga Technologies Inc,"[
  ""Bankruptcy""
]",6660
Jp Morgan Chase And Co,3,Exelixis Inc,Nektar Therapeutics,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",1155
Microsoft Corp,3,Strategic Education Inc,University Bancorp Inc /De/,"[
  ""Litigation""
]",4154
Alphabet Inc,3,Commonwealth Bank Of Australia,Westpac Banking Corp,"[
  ""Litigation""
]",10220
Jp Morgan Chase And Co,3,Neogenomics Inc,Health Discovery Corp,"[
  ""Litigation"",
  ""Litigation""
]",662
Jp Morgan Chase And Co,3,Xerox Corp,Hp Inc,"[
  ""Breach""
]",14344
Goldman Sachs Group Inc,3,Cass Information Systems Inc,Comerica Inc /New/,"[
  ""Disruption""
]",157284
Alphabet Inc,2,Nasdaq Inc,Dlh Holdings Corp,"[
  ""Fraud""
]",1
Jp Morgan Chase And Co,3,New Residential Investment Corp,Onemain Holdings Inc,"[
  ""Bankruptcy""
]",11906
Jp Morgan Chase And Co,3,Toyota Motor Corp,Aisin Seiki Co Ltd,"[
  ""Disruption""
]",240
Jp Morgan Chase And Co,3,Spectrum Pharmaceuticals Inc,Rain Therapeutics Inc,"[
  ""Research""
]",9
Morgan Stanley International Holdings Inc,2,Salesforce Com Inc,Sap Se,"[
  ""Disruption""
]",1
Goldman Sachs Group Inc,2,Huntsman Corp,Apollo Investment Corp,"[
  ""Litigation""
]",300
Alphabet Inc,3,G1 Therapeutics Inc,Triple P Nv,"[
  ""Clinical Trial""
]",7
Alphabet Inc,3,Pareteum Corp,Spindle Inc,"[
  ""Fraud""
]",72
Jp Morgan Chase And Co,3,Tyson Foods Inc,Arlington Asset Investment Corp,"[
  ""Litigation""
]",190008
Jp Morgan Chase And Co,2,Thomson Reuters Corp,The Swatch Group Ltd,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Thomson Reuters Corp,Steinhoff International Holdings Nv,"[
  ""Accounting Fraud""
]",1722
Jp Morgan Chase And Co,2,Assured Guaranty Ltd,Credit Suisse Group,"[
  ""Fraud"",
  ""Breach""
]",51948
Goldman Sachs Group Inc,3,Stonegate Mortgage Corp,Barclays Plc,"[
  ""Breach""
]",176624
Goldman Sachs Group Inc,3,Hologic Inc,Senorx Inc,"[
  ""Litigation"",
  ""Litigation""
]",252
Morgan Stanley International Holdings Inc,2,Us Bancorp,Uber Technologies Inc,"[
  ""Ransomware Attack""
]",1575
Goldman Sachs Group Inc,3,Nanoviricides Inc,Novartis Ag,"[
  ""Clinical Trial""
]",1416
Goldman Sachs Group Inc,3,Facebook Inc,Bdo Unibank Inc,"[
  ""Hack""
]",512
Goldman Sachs Group Inc,2,Intercontinental Exchange,Spring Bank Pharmaceuticals Inc,"[
  ""Breach""
]",1
Goldman Sachs Group Inc,3,Thomson Reuters Corp,Centrais Electricas Brazil,"[
  ""Fraud""
]",22800
Goldman Sachs Group Inc,3,Nasdaq Inc,Criteo Ltd,"[
  ""Disruption""
]",984
Jp Morgan Chase And Co,3,Cvr Partners Lp,Cvr Energy Inc,"[
  ""Disruption""
]",5608
Coca-Cola Company,3,White Mountains Insurance Group,Allstate Corp,"[
  ""Breach""
]",4415977
Coca-Cola Company,3,Document Security Systems Inc,Pendrell Corp,"[
  ""Fraud""
]",8
Coca-Cola Company,2,Twitter Inc,Viasat Inc,"[
  ""Disruption""
]",1
Coca-Cola Company,2,Twitter Inc,Warner Media Llc,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Vishay Precision Group,Vishay Intertechnology Inc,"[
  ""Breach""
]",616
Coca-Cola Company,3,Warrior Met Coal Inc,Masco Corporation Limited,"[
  ""Sanctions""
]",1309
Coca-Cola Company,2,Intercontinental Exchange,58com Inc,"[
  ""Breach""
]",1
Coca-Cola Company,3,Alnylam Pharmaceuticals Inc,Dicerna Pharmaceuticals Inc,"[
  ""Litigation"",
  ""Litigation""
]",2601
Coca-Cola Company,3,Energy Fuels Inc,Centrus Energy Corp,"[
  ""Removal""
]",900
Pepsico Inc,3,E Trade Financial Corp,Tribune Media Co,"[
  ""Bankruptcy"",
  ""Bankruptcy"",
  ""Bankruptcy""
]",5388
Coca-Cola Company,3,Huntsman Corp,Rockwood Holdings Inc,"[
  ""Breach Of Contract"",
  ""Breach Of Contract""
]",543
Pepsico Inc,3,Las Vegas Sands Corp,Galaxy Entertainment Group Ltd,"[
  ""Litigation"",
  ""Litigation"",
  ""Litigation""
]",532
Pepsico Inc,3,Mylan Nv,Medicis Pharmaceutical Corp,"[
  ""Investigation"",
  ""Investigation""
]",276
Pepsico Inc,3,Exelixis Inc,Mtc Technologies Inc,"[
  ""Clinical Trial""
]",994
Pepsico Inc,2,Citigroup Inc,Unity Biotechnology Inc,"[
  ""Research""
]",1
Coca-Cola Company,3,Ford Motor Company,Metro Inc,"[
  ""Legal Dispute""
]",112580
Pepsico Inc,2,Intercontinental Exchange,Consolidated Edison Inc,"[
  ""Bankruptcy""
]",1
Alphabet Inc,2,Fitbit Inc,Central European Media Enterprises Ltd,"[
  ""Breach""
]",1
Alphabet Inc,2,Abbvie Inc,Evolus Inc,"[
  ""Investigation"",
  ""Investigation"",
  ""Investigation""
]",107
Alphabet Inc,3,Trimas Corp,American Axle And Manufacturing Holdings Inc,"[
  ""Reorganization""
]",1650
Alphabet Inc,2,Intercontinental Exchange,Mohawk Industries Inc,"[
  ""Investigation""
]",1
Alphabet Inc,3,Charter Communications Inc,America Movil Sab De Cv,"[
  ""Investigation""
]",3456
Microsoft Corp,2,Apple Inc,Koss Cp,"[
  ""Breach Of Contract""
]",1
Pepsico Inc,3,Hollyfrontier Corp,Holly Energy Partners Lp,"[
  ""Dispute""
]",8625
Alphabet Inc,2,Nasdaq Inc,Magenta Therapeutics Inc,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Vici Properties Inc,Guaranty Bancorp,"[
  ""Breach""
]",21384
Coca-Cola Company,3,Ashford Inc,Ashford Hospitality Trust Inc,"[
  ""Investigation""
]",187740
Coca-Cola Company,3,Toyota Motor Corp,Volkswagen Ag,"[
  ""Manipulation""
]",2772
Coca-Cola Company,2,Intercontinental Exchange,Softbank Group Corp,"[
  ""Investigation""
]",1
Microsoft Corp,2,Hsbc Holdings Plc,Ing Groep Nv,"[
  ""Fraud""
]",1
Microsoft Corp,3,Hewlett Packard Enterprise Comp,Aruba Networks Inc,"[
  ""Investigation""
]",298
Pepsico Inc,3,Nasdaq Inc,Essa Pharma,"[
  ""Clinical Trial""
]",1638
Pepsico Inc,3,Twilio Inc,Sendgrid Inc,"[
  ""Reorganization""
]",444
Pepsico Inc,3,Telenav Inc,Ford Motor Company,"[
  ""Breach""
]",498582
Microsoft Corp,3,Acer Therapeutics Inc,Lincoln Park Bancorp,"[
  ""Litigation""
]",66
Microsoft Corp,3,Goodyear Tire And Rubber Co /Oh/,Stoneridge Inc,"[
  ""Breach""
]",18862
Microsoft Corp,3,Hc2 Holdings Inc,American Financial Group Inc,"[
  ""Breach Of Contract""
]",6696
Alphabet Inc,3,Msa Safety Inc,Alleghany Corp,"[
  ""Breach""
]",26
Microsoft Corp,3,Novavax Inc,Jv Group Inc,"[
  ""Clinical Trial""
]",2671
Microsoft Corp,3,Cigna Corp,Anthem Inc,"[
  ""Bankruptcy""
]",179192
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Marriott International Inc /Md/,"[
  ""Data Breach""
]",1
Coca-Cola Company,3,Post Holdings Inc,Diamond Foods Inc,"[
  ""Removal""
]",85
Microsoft Corp,3,Amarin Corp Plc,Catabasis Pharmaceuticals Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",170
Pepsico Inc,2,Nasdaq Inc,Axon Enterprise Inc,"[
  ""Investigation""
]",1
Pepsico Inc,3,Fleetcor Technologies Inc,Mastercard Inc,"[
  ""Litigation""
]",2589174
Jp Morgan Chase And Co,3,Tallgrass Energy Gp Lp,Cannabis Capital Corp,"[
  ""Breach Of Contract"",
  ""Breach Of Contract""
]",114
Morgan Stanley International Holdings Inc,3,Turning Point Brands,Standard Diversified Opportunities Inc,"[
  ""Reorganization"",
  ""Reorganization""
]",162
Morgan Stanley International Holdings Inc,3,Verso Corp,Kapstone Paper And Packaging Corp,"[
  ""Bankruptcy""
]",9
Goldman Sachs Group Inc,3,Mylan Nv,Medicis Pharmaceutical Corp,"[
  ""Investigation"",
  ""Investigation""
]",360
Goldman Sachs Group Inc,3,Mosys Inc,Dextera Surgical Inc,"[
  ""Reorganization""
]",20
Goldman Sachs Group Inc,3,Neogenomics Inc,Health Discovery Corp,"[
  ""Litigation"",
  ""Litigation""
]",1204
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Eastman Chemical Company,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,3,Novo Nordisk A/S,Soleno Therapeutics Inc,"[
  ""Clinical Trial""
]",1472
Jp Morgan Chase And Co,3,Adobe Inc,Keysight Technologies Inc,"[
  ""Shutdown""
]",10425
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Under Armour,"[
  ""Data Breach""
]",1
Jp Morgan Chase And Co,3,Aveo Pharmaceuticals Inc,Aeterna Zentaris Inc,"[
  ""Clinical Trial""
]",48
Morgan Stanley International Holdings Inc,3,Sony Corp,Rizal Commercial Banking Corporation,"[
  ""Ransomware Attack""
]",694
Goldman Sachs Group Inc,3,Bmw Ag St,Bridgestone Corp,"[
  ""Research""
]",2530
Goldman Sachs Group Inc,3,Nasdaq Inc,Longfin Corp,"[
  ""Accounting Fraud""
]",566
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Bankunited Inc,"[
  ""Litigation""
]",1
Goldman Sachs Group Inc,3,Nike Inc,Celadon Group Inc,"[
  ""Bankruptcy""
]",354
Goldman Sachs Group Inc,3,Minerals Technologies Inc,Polarityte Inc,"[
  ""Bankruptcy""
]",14901
Jp Morgan Chase And Co,3,Mylan Nv,Medicis Pharmaceutical Corp,"[
  ""Investigation""
]",216
Jp Morgan Chase And Co,3,Intel Corp,Finjan Holdings,"[
  ""Dispute""
]",1380
Jp Morgan Chase And Co,3,Meritage Homes Corp,Beazer Homes Usa Inc,"[
  ""Breach Of Contract""
]",272
Morgan Stanley International Holdings Inc,3,Vishay Precision Group,Vishay Intertechnology Inc,"[
  ""Breach""
]",316
Morgan Stanley International Holdings Inc,3,Verizon Communications Inc,America Movil Sab De Cv,"[
  ""Investigation""
]",1056
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Granite Construction Inc,"[
  ""Investigation""
]",1
Morgan Stanley International Holdings Inc,3,Occidental Petroleum Corp,Sanchez Energy Corp,"[
  ""Reorganization""
]",32
Goldman Sachs Group Inc,3,Aci Worldwide Inc,Nice Ltd,"[
  ""Fraud""
]",720
Goldman Sachs Group Inc,2,Bank Of America Corp,Mbia Inc,"[
  ""Litigation""
]",7296
Goldman Sachs Group Inc,3,Boise Inc,Greif Inc,"[
  ""Bankruptcy""
]",136
Morgan Stanley International Holdings Inc,3,Tronox Holdings Plc,Eramet Group,"[
  ""Investigation""
]",150
Goldman Sachs Group Inc,3,New York Times Co,Life Time Fitness Inc,"[
  ""Bankruptcy Protection""
]",14076
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Ebay Inc,"[
  ""Fraud""
]",1
Goldman Sachs Group Inc,3,Kla Tencor Corp,Orbotech Ltd,"[
  ""Criminal Investigation""
]",2202
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Simon Property Group Inc /De/,"[
  ""Bankruptcy""
]",1
Coca-Cola Company,3,Wynn Resorts Ltd,Wynn Macau,"[
  ""Removal""
]",4284
Coca-Cola Company,3,Booz Allen Hamilton Holding Corp,Echo Global Logistics Inc,"[
  ""Fraud"",
  ""Fraud"",
  ""Investigation""
]",328
Coca-Cola Company,3,Citigroup Inc,China Evergrande Group,"[
  ""Protest""
]",960
Coca-Cola Company,3,Intercept Pharmaceuticals Inc,Galectin Therapeutics Inc,"[
  ""Clinical Trial""
]",24
Coca-Cola Company,3,Spectrum Pharmaceuticals Inc,Amag Pharmaceuticals,"[
  ""Reorganization""
]",28
Coca-Cola Company,2,Intercontinental Exchange,Celadon Group Inc,"[
  ""Bankruptcy Protection""
]",1
Pepsico Inc,3,Energy Fuels Inc,Gold Resource Corp,"[
  ""Removal""
]",780
Coca-Cola Company,3,Intel Corp,Bank Of China Ltd Ad,"[
  ""Research""
]",1422
Pepsico Inc,2,Nasdaq Inc,Ehealth Inc,"[
  ""Investigation""
]",1
Pepsico Inc,3,Via Pharmaceuticals Inc,Novan Inc,"[
  ""Clinical Trial""
]",204
Pepsico Inc,3,Dxc Technology Company,Kemper Corp,"[
  ""Breach"",
  ""Breach""
]",19023
Coca-Cola Company,3,New Residential Investment Corp,Onemain Holdings Inc,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",48794
Pepsico Inc,3,Osmotica Pharmaceuticals Public Limited Company,Balchem Cp,"[
  ""Dispute""
]",60
Pepsico Inc,3,Geron Co Ltd,Constellation Pharmaceuticals Inc,"[
  ""Investigation""
]",279
Microsoft Corp,3,Advanced Disposal Services Inc,Acer Therapeutics Inc,"[
  ""Investigation""
]",10593
Microsoft Corp,2,Nasdaq Inc,Livongo Health Inc,"[
  ""Investigation""
]",1
Alphabet Inc,3,Dicerna Pharmaceuticals Inc,Beam Therapeutics Inc,"[
  ""Research""
]",229
Pepsico Inc,3,Phh Corp,Avis Budget Group Inc,"[
  ""Breach""
]",198
Pepsico Inc,3,Genuine Parts Company,Hyundai Motor Co,"[
  ""Bankruptcy""
]",108864
Microsoft Corp,3,Encore Capital Group Inc,Encore Brands,"[
  ""Dispute""
]",1305
Alphabet Inc,3,Moodys Corp /De/,Jdcom Inc,"[
  ""Data Breach""
]",108840
Microsoft Corp,3,Corcept Therapeutics Inc,Sun Pharmaceutical Industries Inc,"[
  ""Litigation""
]",7812
Coca-Cola Company,3,Cymabay Therapeutics,Intercept Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",136
Pepsico Inc,3,Loews Corp,Boardwalk Pipeline Partners Lp,"[
  ""Bankruptcy""
]",6300
Microsoft Corp,3,Contura Energy Inc,Cloud Peak Energy Inc,"[
  ""Bankruptcy""
]",4
Alphabet Inc,3,Renault Sa,Volkswagen Ag,"[
  ""Investigation""
]",3168
Alphabet Inc,3,On Semiconductor Corp,Power Integrations Inc,"[
  ""Litigation""
]",216
Coca-Cola Company,3,Adobe Inc,T-Mobile Us,"[
  ""Breach""
]",1018449
Coca-Cola Company,3,Natera Inc,Progenity Inc,"[
  ""Litigation""
]",12
Pepsico Inc,3,Athenex Inc,Icc Holdings Inc,"[
  ""Dispute""
]",4862
Microsoft Corp,2,Intercontinental Exchange,Contura Energy Inc,"[
  ""Disruption""
]",1
Microsoft Corp,2,Intercontinental Exchange,Gap Inc,"[
  ""Investigation""
]",1921
Microsoft Corp,2,Apple Inc,Capital One Financial Corp,"[
  ""Data Breach""
]",1
Coca-Cola Company,3,Ligand Pharmaceuticals Inc,Novan Inc,"[
  ""Research""
]",342
Pepsico Inc,3,Wabash National Corp,Bank Of New York Mellon Corp,"[
  ""Bankruptcy""
]",265369
Pepsico Inc,3,Amerisourcebergen Corp,Sp Bancorp Inc,"[
  ""Breach""
]",1321
Pepsico Inc,3,Cboe Global Markets Inc,International Securities Exchange Holdings Inc,"[
  ""Litigation""
]",27047
Microsoft Corp,3,Blueprint Medicines Corp,Turning Point Therapeutics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",18
Microsoft Corp,3,Digital Realty Trust,Anixter International Inc,"[
  ""Breach""
]",9275
Alphabet Inc,3,Atara Biotherapeutics Inc,Adaptimmune Therapeutics Plc,"[
  ""Clinical Trial""
]",2625
Microsoft Corp,3,Oasis Petroleum Inc,Whiting Petroleum Corp,"[
  ""Reorganization""
]",33372
Microsoft Corp,2,Apple Inc,Microvision,"[
  ""Bankruptcy""
]",1
Alphabet Inc,3,Iac/Interactive,Angi Homeservices Inc,"[
  ""Breach""
]",11877
Alphabet Inc,3,Arena Pharmaceuticals Inc,Eisai Co Ltd,"[
  ""Research""
]",118168
Alphabet Inc,3,International Business Machines Corp,Aspen Technology,"[
  ""Investigation""
]",672
Pepsico Inc,3,Boston Scientific Corp,Edwards Lifesciences Corp,"[
  ""Litigation""
]",3752
Pepsico Inc,3,Contura Energy Inc,Cloud Peak Energy Inc,"[
  ""Bankruptcy""
]",4
Microsoft Corp,2,Uber Technologies Inc,Ebay Inc,"[
  ""Fraud""
]",265
Jp Morgan Chase And Co,3,Abbvie Inc,Evolus Inc,"[
  ""Investigation"",
  ""Investigation""
]",192
Jp Morgan Chase And Co,3,Ngl Energy Partners Lp,Brixmor Property Group Inc,"[
  ""Breach""
]",729981
Jp Morgan Chase And Co,3,Nanoviricides Inc,Chimerix Inc,"[
  ""Clinical Trial""
]",688
Morgan Stanley International Holdings Inc,3,Momenta Pharmaceuticals Inc,Rigel Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",2511
Morgan Stanley International Holdings Inc,3,Wayfair Inc,Stage Stores Inc,"[
  ""Bankruptcy""
]",648
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Canntrust Holdings Inc,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,2,Intercontinental Exchange,Propetro Holding Corp,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,3,Reata Pharmaceuticals Inc,Glenmark Pharmaceuticals Limited,"[
  ""Clinical Trial""
]",4900
Alphabet Inc,3,Toyota Motor Corp,Suzuki Motor Corp,"[
  ""Bankruptcy""
]",480
Alphabet Inc,3,Hc2 Holdings Inc,Dbm Global Inc,"[
  ""Litigation""
]",280
Alphabet Inc,2,Google,Nintendo Co Ltd,"[
  ""Removal""
]",1
Jp Morgan Chase And Co,3,Nike Inc,Thyssenkrupp Ag,"[
  ""Bankruptcy""
]",288
Jp Morgan Chase And Co,3,Maiden Holdings Ltd,Mortgageit Holdings Inc,"[
  ""Breach""
]",5760
Alphabet Inc,3,Bank Of America Corp,Boohoocom Plc,"[
  ""Investigation""
]",5952
Alphabet Inc,2,Abbvie Inc,Cadila Healthcare Limited,"[
  ""Litigation""
]",56
Jp Morgan Chase And Co,3,Antero Midstream Gp Lp,Antero Resources Corp,"[
  ""Breach""
]",19092
Goldman Sachs Group Inc,3,Apple Inc,Centerstate Bank Corp,"[
  ""Investigation""
]",624
Jp Morgan Chase And Co,2,Visa Inc,Gamestop Corp,"[
  ""Fraud""
]",4235
Alphabet Inc,2,Nasdaq Inc,Telenav Inc,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,3,Venator Materials Plc,Sika Ag,"[
  ""Removal""
]",8
Jp Morgan Chase And Co,3,New York And Company,L Brands Inc,"[
  ""Disruption"",
  ""Disruption""
]",8141
Jp Morgan Chase And Co,3,Credit Suisse Ag,Nymox Pharmaceutical Corp,"[
  ""Research""
]",1264
Jp Morgan Chase And Co,3,Biogen Inc,Glenmark Pharmaceuticals Limited,"[
  ""Litigation""
]",2079
