GRAPH,STARTING_NODE,ENDING_NODE,CLASS,DOCCOUNT
Jp Morgan Chase And Co,Uber Technologies Inc,Lyft Inc,Sanctions,49
Verizon Communications Inc,Simmons First National Corp,Spirit Of Texas Bancshares Inc,Corporate Misconduct,56
Goldman Sachs Group Inc,Thomson Reuters Corp,General Electric Company,Sanctions,10
Pepsico Inc,Td Ameritrade Holding Corp,Schwab Charles Corp,Accounting Fraud,3
Pepsico Inc,Schwab Charles Corp,Td Ameritrade Holding Corp,Accounting Fraud,21
Alphabet Inc,Nasdaq Inc,Celgene Corp,Clinical Trial,13
Microsoft Corp,Viasat Inc,Rignet Inc,Corporate Misconduct,48
Pepsico Inc,Dowdupont Inc,Chemours Co,Civil Lawsuit,6
Pepsico Inc,Holly Energy Partners Lp,Hollyfrontier Corp,Corporate Misconduct,22
Verizon Communications Inc,Prologis Inc,Duke Realty Corp,Corporate Misconduct,24
Morgan Stanley International Holdings Inc,Anthem Inc,Humana Inc,Privacy Breach,19
Morgan Stanley International Holdings Inc,Td Ameritrade Holding Corp,Schwab Charles Corp,Accounting Fraud,3
Goldman Sachs Group Inc,Microsoft Corp,Solarwinds Inc,Ransomware Attack,792
Verizon Communications Inc,Dowdupont Inc,Chemours Co,Civil Lawsuit,3
Microsoft Corp,Inovio Pharmaceuticals Inc,Novavax Inc,Clinical Trial,29
Morgan Stanley International Holdings Inc,Intercontinental Exchange,Las Vegas Sands Corp,Corporate Misconduct,14
Pepsico Inc,Microsoft Corp,Nvidia Corp,Hack,152
Morgan Stanley International Holdings Inc,Intercontinental Exchange,Aurora Cannabis Inc,Corporate Misconduct,12
Alphabet Inc,Tesla Inc,Twitter Inc,Sanctions,167
Verizon Communications Inc,Tesla Inc,Twitter Inc,Sanctions,167
Alphabet Inc,Google,New Media Investment Group Inc,Class-Action Lawsuit,10
Microsoft Corp,The Walt Disney Co,Mastercard Inc,Sanctions,12
Alphabet Inc,Google,Boeing Company,Ransomware Attack,3
Goldman Sachs Group Inc,Uber Technologies Inc,Lyft Inc,Hack,710
Goldman Sachs Group Inc,Facebook Inc,Google,Hacking,641
Morgan Stanley International Holdings Inc,Voyager Therapeutics Inc,Neurocrine Biosciences Inc,Clinical Trial,84
Pepsico Inc,General Motors Limited,Allstate Corp,Class-Action Lawsuit,26
Pepsico Inc,Nasdaq Inc,Exelixis Inc,Clinical Trial,60
Morgan Stanley International Holdings Inc,Atandt Inc,T-Mobile Us,Ransomware Attack,42
Jp Morgan Chase And Co,Amgen Inc,Astrazeneca Plc,Clinical Trial,29
Morgan Stanley International Holdings Inc,Fortress Biotech Inc,Mustang Bio Inc,Clinical Trial,12
Pepsico Inc,Goldman Sachs Group Inc,Thomson Reuters Corp,Criminal Investigation,30
Goldman Sachs Group Inc,Amazon Com Inc,Thomson Reuters Corp,Hack,61
Microsoft Corp,T-Mobile Us,Sprint Corp,Sanctions,96
Verizon Communications Inc,Twitter Inc,Google,Hack,3066
Alphabet Inc,Netflix Inc,Twitter Inc,Ddos Attack,15
Pepsico Inc,Fortress Biotech Inc,Mustang Bio Inc,Clinical Trial,21
Goldman Sachs Group Inc,Fortress Biotech Inc,Mustang Bio Inc,Clinical Trial,24
Jp Morgan Chase And Co,International Business Machines Corp,Cap Gemini Sogeti S,Hacking,48
Pepsico Inc,Intercontinental Exchange,Hp Inc,Corporate Misconduct,4
Pepsico Inc,Intercontinental Exchange,Bank Of America Corp,Regulatory Investigation,3
Alphabet Inc,Alphabet Inc,Google,Regulatory Investigation,8
Microsoft Corp,Qualcomm Inc/De,Broadcom Ltd,Sanctions,12
Verizon Communications Inc,Qualcomm Inc/De,Intel Corp,Sanctions,36
Goldman Sachs Group Inc,Intercontinental Exchange,Jeld-Wen Inc,Corporate Misconduct,4
Pepsico Inc,Realty Income Corp,Vereit Inc,Corporate Misconduct,15
Microsoft Corp,Altaba Inc,Microsoft Corp,Hacking,567
Verizon Communications Inc,Electronic Arts Inc,Glu Mobile Inc,Anti-Trust Violation,12
Pepsico Inc,Facebook Inc,Microsoft Corp,Hacking,414
Microsoft Corp,Chase Corp,Jp Morgan Chase And Co,Privacy Breach,5
Verizon Communications Inc,Verizon Communications Inc,New York Times Co,Hack,85
Jp Morgan Chase And Co,Capital One Financial Corp,New York Times Co,Bank Fraud,11
Morgan Stanley International Holdings Inc,Bank Of America Corp,Countrywide Financial Corp,Criminal Investigation,12
Jp Morgan Chase And Co,Nasdaq Inc,Biosig Technologies,Clinical Trial,15
Pepsico Inc,General Motors Limited,Toyota Motor Corp,Civil Lawsuit,10
Alphabet Inc,Verizon Communications Inc,Atandt Inc,Anti-Trust Violation,15
Verizon Communications Inc,Twitter Inc,Google,Hacking,627
Alphabet Inc,Nasdaq Inc,Bryn Mawr Bank Corp,Corporate Misconduct,4
Pepsico Inc,Facebook Inc,Microsoft Corp,Hack,1132
Pepsico Inc,Facebook Inc,Apple Inc,Criminal Investigation,472
Alphabet Inc,Google,Facebook Inc,Ransomware Attack,266
Pepsico Inc,Visa Inc,Capital One Financial Corp,Hacking,124
Alphabet Inc,Johnson And Johnson Services Inc,Medtronic Public Limited Company,Ransomware Attack,8
Alphabet Inc,Google,Facebook Inc,Regulatory Investigation,6
Verizon Communications Inc,Sprint Corp,T-Mobile Us,Sanctions,96
Alphabet Inc,Google,Renault Sa,Sanctions,5
Jp Morgan Chase And Co,Mastercard Inc,Visa Inc,Ransomware Attack,87
Pepsico Inc,Intercontinental Exchange,Townsquare Media Inc,Corporate Misconduct,6
Verizon Communications Inc,Wells Fargo And Company,Intercontinental Exchange,Corporate Misconduct,4
Pepsico Inc,Delta Air Lines Inc,Aeroflot,Sanctions,14
Microsoft Corp,Amazon Com Inc,Nasdaq Inc,Sanctions,24
Alphabet Inc,Nasdaq Inc,Novavax Inc,Clinical Trial,215
Jp Morgan Chase And Co,Medtronic Public Limited Company,Stryker Corp,Ransomware Attack,36
Microsoft Corp,Medtronic Public Limited Company,Stryker Corp,Hack,32
Alphabet Inc,Zimmer Biomet Holdings,Stryker Corp,Hack,36
Pepsico Inc,Facebook Inc,Apple Inc,Class-Action Lawsuit,60
Pepsico Inc,Regeneron Pharmaceuticals Inc,Sanofi Sa,Clinical Trial,22
Alphabet Inc,Contango Oil And Gas Co,Independence Energy,Anti-Trust Violation,4
Microsoft Corp,Google,Amazon Com Inc,Ransomware Attack,398
Microsoft Corp,New York Times Co,Google,Hacking,50
Jp Morgan Chase And Co,Nasdaq Inc,Biondvax Pharma Ads,Clinical Trial,38
Alphabet Inc,Amazon Com Inc,Toyota Motor Corp,Civil Lawsuit,4
Jp Morgan Chase And Co,Intercontinental Exchange,Deutsche Bank,Regulatory Investigation,3
Goldman Sachs Group Inc,Jp Morgan Chase And Co,Unicredit Spa,Hacking,6
Alphabet Inc,Peabody Energy Corp,Arch Coal Inc,Civil Lawsuit,12
Alphabet Inc,Nvidia Corp,Advanced Micro Devices Inc,Sanctions,46
Alphabet Inc,Medtronic Public Limited Company,Stryker Corp,Hack,8
Alphabet Inc,Nasdaq Inc,Gw Pharmaceuticals,Clinical Trial,28
Morgan Stanley International Holdings Inc,Twitter Inc,Square Inc,Hack,304
Microsoft Corp,Zimmer Biomet Holdings,Stryker Corp,Ransomware Attack,160
Verizon Communications Inc,Bank Of America Corp,Deutsche Bank,Ransomware Attack,12
Morgan Stanley International Holdings Inc,Apple Inc,Samsung Electronics Gmbh,Wire Fraud,26
Goldman Sachs Group Inc,Rio Tinto Plc,Turquoise Hill Resources Ltd,Regulatory Investigation,6
Goldman Sachs Group Inc,Facebook Inc,Linkedin Corp,Ransomware Attack,90
Pepsico Inc,Altaba Inc,Facebook Inc,Ransomware Attack,86
Verizon Communications Inc,Facebook Inc,News Corp,Ransomware Attack,15
Morgan Stanley International Holdings Inc,Twitter Inc,Facebook Inc,Cyber Breach,108
Microsoft Corp,Hsbc Holdings Plc,Facebook Inc,Hacking,68
Pepsico Inc,Thomson Reuters Corp,Apple Inc,Hacking,61
Pepsico Inc,Thomson Reuters Corp,Tesco Plc,Hack,558
Goldman Sachs Group Inc,Verizon Communications Inc,Altaba Inc,Cyber Breach,120
Alphabet Inc,Amazon Com Inc,Capital One Financial Corp,Cyber Breach,24
Microsoft Corp,Apple Inc,Thomson Reuters Corp,Ransomware Attack,11
Verizon Communications Inc,Equifax Inc,Google,Hacking,178
Alphabet Inc,Apple Inc,Facebook Inc,Ransomware Attack,71
Goldman Sachs Group Inc,Thomson Reuters Corp,Tesla Inc,Hack,48
Alphabet Inc,Apple Inc,Nintendo Co Ltd,Hack,100
Jp Morgan Chase And Co,Ebay Inc,Paypal Holdings,Hack,2712
Pepsico Inc,Capital One Financial Corp,Hsbc Holdings Plc,Bank Fraud,20
Goldman Sachs Group Inc,Dxc Technology Company,Hewlett Packard Enterprise Comp,Wire Fraud,27
Microsoft Corp,Thomson Reuters Corp,Bristol-Myers Squibb Company,Clinical Trial,8
Alphabet Inc,Bristol-Myers Squibb Company,Thomson Reuters Corp,Clinical Trial,4
Pepsico Inc,Altaba Inc,Microsoft Corp,Sanctions,9
Goldman Sachs Group Inc,Chase Corp,Wells Fargo And Company,Hack,114
Alphabet Inc,Verizon Communications Inc,Altaba Inc,Hacking,648
Microsoft Corp,Verizon Communications Inc,Facebook Inc,Hacking,85
Goldman Sachs Group Inc,Intercontinental Exchange,Nasdaq Inc,Hack,14
Microsoft Corp,Vmware Inc,Solarwinds Inc,Hack,78
Verizon Communications Inc,Bank Of America Corp,Hsbc Holdings Plc,Ransomware Attack,9
Pepsico Inc,Facebook Inc,Apple Inc,Privacy Breach,220
Verizon Communications Inc,Capital One Financial Corp,Wells Fargo And Company,Bank Fraud,46
Pepsico Inc,Intercontinental Exchange,Portland General Electric Co /Or/,Corporate Misconduct,15
Pepsico Inc,Rogers Corp,Dowdupont Inc,Corporate Misconduct,19
Microsoft Corp,Vonage Holdings Corp,Ericsson Inc,Anti-Trust Violation,6
Pepsico Inc,Thomson Reuters Corp,Celgene Corp,Clinical Trial,4
Goldman Sachs Group Inc,New York Times Co,Microsoft Corp,Sanctions,20
Verizon Communications Inc,Facebook Inc,Netflix Inc,Sanctions,10
Microsoft Corp,Microsoft Corp,Apple Inc,Ransomware Attack,101
Microsoft Corp,Thomson Reuters Corp,Mitsubishi Corp,Sanctions,4
Verizon Communications Inc,Meritor Inc,Cummins Inc,Corporate Misconduct,5
Pepsico Inc,Dowdupont Inc,Rogers Corp,Corporate Misconduct,19
Microsoft Corp,Allergan Plc,Abbvie Inc,Clinical Trial,31
Morgan Stanley International Holdings Inc,Uber Technologies Inc,Equifax Inc,Privacy Breach,10
Verizon Communications Inc,Uber Technologies Inc,Lyft Inc,Criminal Investigation,9
Goldman Sachs Group Inc,Thomson Reuters Corp,Aimmune Therapeutics Inc,Clinical Trial,8
Morgan Stanley International Holdings Inc,Bank Of America Corp,Target Corp,Hacking,16
Verizon Communications Inc,Jp Morgan Chase And Co,International Business Machines Corp,Ransomware Attack,11
Alphabet Inc,Goldman Sachs Group Inc,Gsx Techedu Inc,Corporate Misconduct,36
Verizon Communications Inc,Goldman Sachs Group Inc,Gsx Techedu Inc,Corporate Misconduct,36
Pepsico Inc,Coherent Inc,Ii-Vi Inc,Corporate Misconduct,25
Morgan Stanley International Holdings Inc,Builders Firstsource,Bmc Stock Holdings,Anti-Trust Violation,4
Microsoft Corp,Centene Corp,Wellcare Health Plans Inc,Anti-Trust Violation,18
Verizon Communications Inc,Facebook Inc,Alphabet Inc,Hacking,12
Jp Morgan Chase And Co,Emerson Electric Co,Aspen Technology,Corporate Misconduct,36
Alphabet Inc,Zynga Inc,Take Two Interactive Software Inc,Anti-Trust Violation,6
Alphabet Inc,Nasdaq Inc,Rigel Pharmaceuticals Inc,Clinical Trial,19
Morgan Stanley International Holdings Inc,Bank Of America Corp,Fireeye Inc,Hack,4
Verizon Communications Inc,T-Mobile Us,Metro Inc,Hack,40
Jp Morgan Chase And Co,Take Two Interactive Software Inc,Zynga Inc,Accounting Fraud,3
Goldman Sachs Group Inc,Merck And Co Inc,Immune Design Corp,Accounting Fraud,12
Verizon Communications Inc,Cardinal Health Inc,Mckesson Corp,Civil Lawsuit,3
Microsoft Corp,Apple Inc,Boeing Company,Bank Fraud,7
Jp Morgan Chase And Co,Vonage Holdings Corp,Ericsson Inc,Anti-Trust Violation,6
Alphabet Inc,Mckesson Corp,Amerisourcebergen Corp,Civil Lawsuit,3
Verizon Communications Inc,Chevron Corp,Anadarko Petroleum Corp,Anti-Trust Violation,24
Morgan Stanley International Holdings Inc,Amazon Com Inc,Chase Corp,Hacking,45
Microsoft Corp,Abbott Laboratories Limited,Boston Scientific Corp,Clinical Trial,4
Alphabet Inc,Google,Oracle Corp,Legal Dispute,3
Morgan Stanley International Holdings Inc,Amgen Inc,Cytokinetics Inc,Clinical Trial,156
Jp Morgan Chase And Co,Intercontinental Exchange,Amazon Com Inc,Ransomware Attack,6
Goldman Sachs Group Inc,Intercontinental Exchange,Capital One Financial Corp,Hacking,13
Jp Morgan Chase And Co,Intercontinental Exchange,Chase Corp,Hack,18
Goldman Sachs Group Inc,Intercontinental Exchange,Discover Financial Services,Hacking,6
Goldman Sachs Group Inc,Chase Corp,Jp Morgan Chase And Co,Wire Fraud,36
Verizon Communications Inc,Jp Morgan Chase And Co,Intercontinental Exchange,Ransomware Attack,7
Microsoft Corp,Cit Group Inc,First Citizens Bancshares Inc /De/,Anti-Trust Violation,40
Alphabet Inc,Jp Morgan Chase And Co,Chase Corp,Bank Fraud,76
Pepsico Inc,Facebook Inc,Anthem Inc,Ddos Attack,3
Verizon Communications Inc,Twitter Inc,Carnival Corp,Hack,8
Pepsico Inc,Nasdaq Inc,Advanced Micro Devices Inc,Anti-Trust Violation,12
Alphabet Inc,Facebook Inc,Uber Technologies Inc,Ransomware Attack,69
Goldman Sachs Group Inc,Owens And Minor Inc,Apria Inc,Corporate Misconduct,21
Alphabet Inc,Netflix Inc,Amazon Com Inc,Hack,132
Alphabet Inc,Nasdaq Inc,Verona Pharma Plc,Clinical Trial,6
Pepsico Inc,Allergan Plc,Warner Chilcott Plc,Clinical Trial,546
Jp Morgan Chase And Co,International Flavors And Fragrances Inc,Dowdupont Inc,Regulatory Investigation,4
Pepsico Inc,Pfizer Inc,Allergan Plc,Clinical Trial,26
Alphabet Inc,Dowdupont Inc,International Flavors And Fragrances Inc,Regulatory Investigation,8
Jp Morgan Chase And Co,Sandp Global Inc,Thomson Reuters Corp,Sanctions,74
Alphabet Inc,Davita Inc,Baxter International Inc,Clinical Trial,4
Pepsico Inc,Lockheed Martin Corp,Boeing Company,Ransomware Attack,24
Jp Morgan Chase And Co,International Business Machines Corp,Twitter Inc,Hacking,18
Verizon Communications Inc,Cisco Systems Inc,Netgear Inc,Hack,3
Microsoft Corp,Google,Uber Technologies Inc,Civil Lawsuit,7
Goldman Sachs Group Inc,Citigroup Inc,Discover Financial Services,Hacking,8
Alphabet Inc,Allergan Plc,Teva Pharmaceutical Industries Ltd,Multidistrict Litigation,6
Alphabet Inc,Jp Morgan Chase And Co,Thomson Reuters Corp,Wire Fraud,7
Microsoft Corp,Sandp Global Inc,Thomson Reuters Corp,Sanctions,370
Jp Morgan Chase And Co,International Business Machines Corp,Twitter Inc,Hack,32
Verizon Communications Inc,Wec Energy Group Inc,Integrys Holding Inc,Class-Action Lawsuit,9
Pepsico Inc,Qualcomm Inc/De,Apple Inc,Civil Lawsuit,6
Morgan Stanley International Holdings Inc,Tilray Inc,Aphria Inc,Accounting Fraud,6
Pepsico Inc,Rocket Pharmaceuticals Inc,Chardan Healthcare Acquisition 2 Corp,Accounting Fraud,4
Microsoft Corp,Zynga Inc,Facebook Inc,Cyber Breach,24
Pepsico Inc,Mastercard Inc,Apple Inc,Sanctions,60
Microsoft Corp,Facebook Inc,Linkedin Corp,Sanctions,4
Pepsico Inc,Facebook Inc,New York Times Co,Privacy Breach,14
Microsoft Corp,New York Times Co,Uber Technologies Inc,Ransomware Attack,35
Alphabet Inc,Nasdaq Inc,Amag Pharmaceuticals,Corporate Misconduct,7
Alphabet Inc,Nasdaq Inc,Sina Corp,Corporate Misconduct,4
Alphabet Inc,Thomson Reuters Corp,Eurofins Scientific Group,Ddos Attack,6
Microsoft Corp,Microsoft Corp,Amazon Com Inc,Ddos Attack,52
Morgan Stanley International Holdings Inc,Fedex Corp,United Parcel Service Inc,Sanctions,6
Microsoft Corp,Alphabet Inc,Google,Wire Fraud,168
Microsoft Corp,Paypal Holdings,Sony Corp,Hacking,12
Morgan Stanley International Holdings Inc,Thomson Reuters Corp,Netflix Inc,Bank Fraud,36
Pepsico Inc,Rosetta Stone Inc,Intercontinental Exchange,Corporate Misconduct,6
Goldman Sachs Group Inc,Thomson Reuters Corp,Walmart Inc,Sanctions,5
Goldman Sachs Group Inc,Cbs Corp,Home Depot Inc,Hacking,6
Morgan Stanley International Holdings Inc,Cbtx Inc,Allegiance Bancshares Inc,Accounting Fraud,3
Jp Morgan Chase And Co,Nasdaq Inc,Inmed Pharmaceuticals Inc,Clinical Trial,18
Jp Morgan Chase And Co,International Business Machines Corp,Intercontinental Exchange,Ransomware Attack,30
Microsoft Corp,Puma Biotechnology,Nasdaq Inc,Clinical Trial,31
Microsoft Corp,Nicolet Bankshares Inc,County Bancorp,Corporate Misconduct,12
Morgan Stanley International Holdings Inc,Verizon Communications Inc,Home Depot Inc,Hacking,12
Jp Morgan Chase And Co,Visa Inc,Ebay Inc,Hack,8
Verizon Communications Inc,Tilray Inc,Aphria Inc,Accounting Fraud,16
Pepsico Inc,Eidos Therapeutics Inc,Bridgebio Pharma Llc,Anti-Trust Violation,10
Alphabet Inc,Facebook Inc,Square Inc,Privacy Breach,9
Alphabet Inc,Enbridge Energy Partners Lp,Enbridge Inc,Regulatory Investigation,21
Morgan Stanley International Holdings Inc,International Business Machines Corp,Apple Inc,Hack,42
Pepsico Inc,T-Mobile Us,Deutsche Telekom Ag,Wire Fraud,36
Microsoft Corp,Thomson Reuters Corp,Federal Home Loan Mortgage Corp,Sanctions,5
Microsoft Corp,T-Mobile Us,Sprint Corp,Ddos Attack,64
Morgan Stanley International Holdings Inc,Bank Of America Corp,Estee Lauder Companies Inc,Hack,32
Jp Morgan Chase And Co,Morgan Stanley International Holdings Inc,Citigroup Inc,Sanctions,17
Verizon Communications Inc,Thomson Reuters Corp,Nissan Motor Co Ltd,Criminal Investigation,4
Goldman Sachs Group Inc,T-Mobile Us,Verizon Communications Inc,Ddos Attack,18
Verizon Communications Inc,Pnm Resources Inc,Avangrid Inc,Corporate Misconduct,14
Pepsico Inc,Nasdaq Inc,Vaxart Inc,Clinical Trial,5
Microsoft Corp,Nasdaq Inc,Comtech Telecommunications Corp /De/,Anti-Trust Violation,8
Alphabet Inc,Pacific Gas And Electric Co,Pgande Corp,Criminal Investigation,1870
Pepsico Inc,Nasdaq Inc,Biolinerx Ltd,Clinical Trial,3
Goldman Sachs Group Inc,Jp Morgan Chase And Co,Deutsche Bank,Sanctions,456
Jp Morgan Chase And Co,American Airlines Group Inc,Southwest Airlines Company,Sanctions,12
Morgan Stanley International Holdings Inc,Delta Air Lines Inc,Southwest Airlines Company,Sanctions,3
Goldman Sachs Group Inc,Uber Technologies Inc,Paypal Holdings,Hack,50
Goldman Sachs Group Inc,Lilly Eli And Co,Bristol-Myers Squibb Company,Clinical Trial,4
Verizon Communications Inc,Bank Of America Corp,Bnp Paribas,Hack,3
Verizon Communications Inc,Cousins Properties Inc,Tier Reit Inc,Anti-Trust Violation,24
Microsoft Corp,Viasat Inc,Inmarsat Plc,Accounting Fraud,3
Verizon Communications Inc,Nokia Corp,Apple Inc,Sanctions,132
Alphabet Inc,Nokia Corp,Samsung Electronics Gmbh,Sanctions,45
Verizon Communications Inc,Bank Of America Corp,Countrywide Plc,Legal Dispute,20
Morgan Stanley International Holdings Inc,Biogen Inc,Sage Therapeutics Inc,Clinical Trial,8
Goldman Sachs Group Inc,Nuance Communications Inc,Microsoft Corp,Hack,8
Jp Morgan Chase And Co,Channeladvisor Corp,Commercehub Inc,Corporate Misconduct,14
Jp Morgan Chase And Co,International Business Machines Corp,Cisco Systems Inc,Ransomware Attack,108
Verizon Communications Inc,Activision Blizzard,Microsoft Corp,Sanctions,12
Alphabet Inc,Nasdaq Inc,Thomson Reuters Corp,Accounting Fraud,33
Jp Morgan Chase And Co,Thomson Reuters Corp,Goldman Sachs Group Inc,Accounting Fraud,9
Pepsico Inc,Hsbc Holdings Plc,Deutsche Bank,Accounting Fraud,9
Verizon Communications Inc,Bank Of America Corp,The Toronto-Dominion Bank,Class-Action Lawsuit,4
Pepsico Inc,Goldman Sachs Group Inc,Deutsche Bank,Bank Fraud,16
Microsoft Corp,Neophotonics Corp,Lumentum Holdings Inc,Anti-Trust Violation,6
Goldman Sachs Group Inc,Pbf Holding Co Llc,Pbf Logistics Gp Llc,Corporate Misconduct,20
Pepsico Inc,Intercontinental Exchange,Glaukos Corp,Clinical Trial,14
Microsoft Corp,Sunoco Lp,Energy Transfer Lp  1,Criminal Investigation,6
Microsoft Corp,Verizon Communications Inc,T-Mobile Us,Hacking,88
Jp Morgan Chase And Co,Verizon Communications Inc,T-Mobile Us,Hacking,22
Goldman Sachs Group Inc,Global Payments Inc,Total System Services Inc,Anti-Trust Violation,36
Pepsico Inc,Nasdaq Inc,Neurocrine Biosciences Inc,Clinical Trial,5
Alphabet Inc,Aetna Inc,Anthem Inc,Wire Fraud,50
Alphabet Inc,Apple Inc,Nike Inc,Bank Fraud,6
Jp Morgan Chase And Co,Cadence Bancorporation,Bancorpsouth Inc,Anti-Trust Violation,8
Alphabet Inc,Altaba Inc,Zynga Inc,Hack,104
Alphabet Inc,Intel Corp,Mobileye Nv,Civil Lawsuit,4
Alphabet Inc,Astellas Pharma Inc,Audentes Therapeutics Inc,Accounting Fraud,3
Verizon Communications Inc,Stryker Corp,Exactech Inc,Ransomware Attack,4
Pepsico Inc,Thomson Reuters Corp,Samsung Electronics Gmbh,Sanctions,58
Pepsico Inc,Nasdaq Inc,Staar Surgical Co,Corporate Misconduct,24
Pepsico Inc,Twitter Inc,Shopify Inc,Ransomware Attack,80
Microsoft Corp,Adobe Inc,Sony Corp,Hack,170
Microsoft Corp,Pgande Corp,Southern California Edison Co,Civil Lawsuit,4
Alphabet Inc,Verizon Communications Inc,Molina Healthcare Inc,Hacking,3
Verizon Communications Inc,Diamondback Energy,Qep Resources,Accounting Fraud,12
Microsoft Corp,Twitter Inc,Shopify Inc,Ransomware Attack,40
Verizon Communications Inc,Adobe Inc,Altaba Inc,Hacking,66
Microsoft Corp,Maxlinear Inc,Silicon Motion Technology Corp,Corporate Misconduct,6
Alphabet Inc,Visa Inc,Mastercard Inc,Bank Fraud,12
Pepsico Inc,Extreme Networks Inc,Aerohive Networks Inc,Accounting Fraud,21
Alphabet Inc,Nasdaq Inc,Kamada Ltd,Clinical Trial,22
Goldman Sachs Group Inc,Xilinx Inc,Advanced Micro Devices Inc,Sanctions,12
Verizon Communications Inc,Advanced Micro Devices Inc,Xilinx Inc,Sanctions,12
Morgan Stanley International Holdings Inc,Visa Inc,Paypal Holdings,Ddos Attack,9
Goldman Sachs Group Inc,Adobe Inc,Altaba Inc,Ransomware Attack,19
Verizon Communications Inc,Micron Technology Inc,Intel Corp,Sanctions,10
Verizon Communications Inc,Chevron Corp,Oao Gazprom,Sanctions,3
Microsoft Corp,Nanometrics Inc,Rudolph Technologies Inc,Accounting Fraud,24
Goldman Sachs Group Inc,Sprint Corp,Atandt Inc,Hack,46
Microsoft Corp,Nasdaq Inc,Cara Therapeutics,Clinical Trial,29
Morgan Stanley International Holdings Inc,Intercontinental Exchange,Boston Scientific Corp,Clinical Trial,5
Morgan Stanley International Holdings Inc,Berkshire Hathaway Inc,Berkshire Bancorp Inc /De/,Sanctions,53
Jp Morgan Chase And Co,Berkshire Hathaway Inc,Berkshire Bancorp Inc /De/,Sanctions,53
Pepsico Inc,Boeing Company,American Airlines Group Inc,Sanctions,9
Verizon Communications Inc,General Electric Company,United Technologies Corp,Sanctions,3
Alphabet Inc,Nvidia Corp,Uber Technologies Inc,Hacking,16
Verizon Communications Inc,Magellan Health Inc,Anthem Inc,Hacking,9
Pepsico Inc,General Electric Company,Boeing Company,Sanctions,66
Microsoft Corp,Cisco Systems Inc,Acacia Communications Inc,Legal Dispute,8
Morgan Stanley International Holdings Inc,Thomson Reuters Corp,Sony Corp,Sanctions,6
Morgan Stanley International Holdings Inc,Amazon Com Inc,Berkshire Bancorp Inc /De/,Hack,4
Morgan Stanley International Holdings Inc,Equity Commonwealth,Monmouth Real Estate Investment Corp,Accounting Fraud,4
Pepsico Inc,Apollo Global Management Llc,Wsfs Financial Corp,Corporate Misconduct,18
Jp Morgan Chase And Co,Federal Home Loan Mortgage Corp,Federal National Mortgage Association,Accounting Fraud,12
Jp Morgan Chase And Co,Principal Financial Group Inc,Performance Food Group Co,Regulatory Investigation,18
Verizon Communications Inc,Synaptics Inc,Dsp Group Inc /De/,Corporate Misconduct,4
Pepsico Inc,London Stock Exchange Group Plc,Grubhub Inc,Anti-Trust Violation,4
Alphabet Inc,Facebook Inc,Sonoma Pharmaceuticals Inc,Class-Action Lawsuit,18
Jp Morgan Chase And Co,Ncr Corp,Cardtronics Plc,Corporate Misconduct,30
Jp Morgan Chase And Co,Nasdaq Inc,Fortress Investment Group Llc,Anti-Trust Violation,6
Microsoft Corp,Nasdaq Inc,Ionis Pharmaceuticals Inc,Clinical Trial,3
Alphabet Inc,Apple Inc,Verizon Communications Inc,Hacking,9
Goldman Sachs Group Inc,Zynga Inc,Facebook Inc,Privacy Breach,10
Jp Morgan Chase And Co,Mastercard Inc,Facebook Inc,Hacking,36
Morgan Stanley International Holdings Inc,Eagle Pharmaceuticals Inc,Symbio Pharmaceuticals Limited,Clinical Trial,4
Morgan Stanley International Holdings Inc,Akcea Therapeutics Inc,Ionis Pharmaceuticals Inc,Clinical Trial,14
Alphabet Inc,Intercontinental Exchange,Braskem Sa,Corporate Misconduct,6
Microsoft Corp,Southwest Airlines Company,Boeing Company,Class-Action Lawsuit,15
Alphabet Inc,Goldman Sachs Group Inc,Bank Of America Corp,Sanctions,20
Goldman Sachs Group Inc,Bank Of America Corp,Citigroup Inc,Sanctions,18
Verizon Communications Inc,Facebook Inc,Under Armour,Cyber Breach,12
Verizon Communications Inc,Altaba Inc,Microsoft Corp,Legal Dispute,12
Pepsico Inc,Parsley Energy,Jagged Peak Energy Inc,Accounting Fraud,10
Alphabet Inc,Chemours Co,Dowdupont Inc,Criminal Investigation,14
Verizon Communications Inc,Chemours Co,Dowdupont Inc,Criminal Investigation,4
Jp Morgan Chase And Co,Mks Instruments Inc,Applied Materials Inc /De,Sanctions,63
Alphabet Inc,Nasdaq Inc,Ironwood Pharmaceuticals Inc,Clinical Trial,3
Jp Morgan Chase And Co,Chemours Co,Dowdupont Inc,Criminal Investigation,14
Goldman Sachs Group Inc,Nuvasive Inc,Globus Medical Inc,Corporate Misconduct,13
Pepsico Inc,Symantec Corp,Proofpoint Inc,Hacking,4
Verizon Communications Inc,Microsoft Corp,Symantec Corp,Hacking,10
Microsoft Corp,Verizon Communications Inc,Pepsico Inc,Sanctions,24
Pepsico Inc,Graftech International Ltd,Brookfield Asset Management Inc,Wire Fraud,6
Jp Morgan Chase And Co,Nvidia Corp,Stmicroelectronics Nv,Sanctions,15
Morgan Stanley International Holdings Inc,Thomson Reuters Corp,Credit Suisse Group,Sanctions,10
Verizon Communications Inc,Intercontinental Exchange,Waste Management Inc,Anti-Trust Violation,8
Alphabet Inc,Microsoft Corp,Symantec Corp,Hacking,60
Pepsico Inc,Microsoft Corp,Adobe Inc,Hack,16
